# H0=6.9330e+01 Om0=2.8800e-01 Ob0=4.7200e-02 Ol0=7.1200e-01 | N=2000
# redshift scafa dcom[Mpc] vcom[Mpc3] tlook[Myr] efunc
5.39965712e-05 9.99946006e-01 2.33485879e-01 5.33175851e-02 7.61508527e-01 1.00002333e+00
5.44964464e-05 9.99945507e-01 2.35647358e-01 5.48120863e-02 7.68557945e-01 1.00002354e+00
5.50009493e-05 9.99945002e-01 2.37828846e-01 5.63484785e-02 7.75672618e-01 1.00002376e+00
5.55101225e-05 9.99944493e-01 2.40030529e-01 5.79279359e-02 7.82853149e-01 1.00002398e+00
5.60240095e-05 9.99943979e-01 2.42252593e-01 5.95516655e-02 7.90100150e-01 1.00002420e+00
5.65426538e-05 9.99943461e-01 2.44495228e-01 6.12209084e-02 7.97414235e-01 1.00002443e+00
5.70660995e-05 9.99942937e-01 2.46758623e-01 6.29369402e-02 8.04796024e-01 1.00002465e+00
5.75943910e-05 9.99942409e-01 2.49042972e-01 6.47010724e-02 8.12246145e-01 1.00002488e+00
5.81275731e-05 9.99941876e-01 2.51348467e-01 6.65146533e-02 8.19765231e-01 1.00002511e+00
5.86656912e-05 9.99941338e-01 2.53675305e-01 6.83790690e-02 8.27353918e-01 1.00002534e+00
5.92087910e-05 9.99940795e-01 2.56023683e-01 7.02957443e-02 8.35012852e-01 1.00002558e+00
5.97569185e-05 9.99940247e-01 2.58393801e-01 7.22661441e-02 8.42742683e-01 1.00002582e+00
6.03101203e-05 9.99939694e-01 2.60785860e-01 7.42917741e-02 8.50544067e-01 1.00002606e+00
6.08684435e-05 9.99939135e-01 2.63200063e-01 7.63741827e-02 8.58417667e-01 1.00002630e+00
6.14319353e-05 9.99938572e-01 2.65636615e-01 7.85149611e-02 8.66364150e-01 1.00002654e+00
6.20006437e-05 9.99938003e-01 2.68095722e-01 8.07157456e-02 8.74384191e-01 1.00002679e+00
6.25746169e-05 9.99937429e-01 2.70577595e-01 8.29782181e-02 8.82478472e-01 1.00002703e+00
6.31539036e-05 9.99936850e-01 2.73082442e-01 8.53041077e-02 8.90647679e-01 1.00002728e+00
6.37385532e-05 9.99936266e-01 2.75610478e-01 8.76951919e-02 8.98892506e-01 1.00002754e+00
6.43286151e-05 9.99935676e-01 2.78161917e-01 9.01532982e-02 9.07213652e-01 1.00002779e+00
6.49241396e-05 9.99935080e-01 2.80736975e-01 9.26803052e-02 9.15611825e-01 1.00002805e+00
6.55251772e-05 9.99934479e-01 2.83335870e-01 9.52781441e-02 9.24087737e-01 1.00002831e+00
6.61317789e-05 9.99933873e-01 2.85958825e-01 9.79488004e-02 9.32642108e-01 1.00002857e+00
6.67439962e-05 9.99933260e-01 2.88606061e-01 1.00694315e-01 9.41275663e-01 1.00002883e+00
6.73618812e-05 9.99932643e-01 2.91277803e-01 1.03516786e-01 9.49989136e-01 1.00002910e+00
6.79854863e-05 9.99932019e-01 2.93974278e-01 1.06418371e-01 9.58783267e-01 1.00002937e+00
